json_stats: {"RAM": "8.28/251.57G", "_type": "train_epoch", "dt": 0.13261, "dt_data": 0.13261, "dt_net": 0.80295, "epoch": "25/200", "eta": "0:00:23", "gpu_mem": "8.07G", "grad_norm": 8.47976, "loss": 1.62465, "lr": 0.00008, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "8.23/251.57G", "_type": "train_epoch", "dt": 0.13315, "dt_data": 0.13315, "dt_net": 0.79747, "epoch": "26/200", "eta": "0:00:23", "gpu_mem": "8.07G", "grad_norm": 3.83088, "loss": 1.01680, "lr": 0.00008, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "8.27/251.57G", "_type": "train_epoch", "dt": 0.13378, "dt_data": 0.13378, "dt_net": 0.80171, "epoch": "27/200", "eta": "0:00:23", "gpu_mem": "8.07G", "grad_norm": 3.86522, "loss": 1.03175, "lr": 0.00009, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "8.27/251.57G", "_type": "train_epoch", "dt": 0.13298, "dt_data": 0.13298, "dt_net": 0.78807, "epoch": "28/200", "eta": "0:00:22", "gpu_mem": "8.07G", "grad_norm": 3.51422, "loss": 0.88821, "lr": 0.00009, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "8.28/251.57G", "_type": "train_epoch", "dt": 0.13364, "dt_data": 0.13364, "dt_net": 0.80116, "epoch": "29/200", "eta": "0:00:22", "gpu_mem": "8.07G", "grad_norm": 3.74079, "loss": 0.79956, "lr": 0.00009, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "8.28/251.57G", "_type": "train_epoch", "dt": 0.13444, "dt_data": 0.13444, "dt_net": 0.80577, "epoch": "30/200", "eta": "0:00:22", "gpu_mem": "8.07G", "grad_norm": 2.78799, "loss": 0.75702, "lr": 0.00010, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "8.24/251.57G", "_type": "val_epoch", "acc(ego)": 0.62745, "acc(gaze)": 0.11111, "epoch": "30/200", "f1(ego)": 0.71744, "f1(gaze)": 0.02222, "gpu_mem": "8.07G", "min_top1_err": 70.00000, "min_top5_err": 20.00000, "time_diff": 0.00011, "top1_err": 70.00000, "top5_err": 20.00000}
json_stats: {"RAM": "8.28/251.57G", "_type": "train_epoch", "dt": 0.14117, "dt_data": 0.14117, "dt_net": 0.79397, "epoch": "31/200", "eta": "0:00:23", "gpu_mem": "8.07G", "grad_norm": 6.61503, "loss": 1.27065, "lr": 0.00010, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "8.28/251.57G", "_type": "train_epoch", "dt": 0.13162, "dt_data": 0.13162, "dt_net": 0.79752, "epoch": "32/200", "eta": "0:00:22", "gpu_mem": "8.07G", "grad_norm": 4.59784, "loss": 0.98880, "lr": 0.00010, "top1_err": 0.00000, "top5_err": 0.00000}
json_stats: {"RAM": "8.29/251.57G", "_type": "train_epoch", "dt": 0.13269, "dt_data": 0.13269, "dt_net": 0.79218, "epoch": "33/200", "eta": "0:00:22", "gpu_mem": "8.07G", "grad_norm": 9.21425, "loss": 1.63395, "lr": 0.00010, "top1_err": 0.00000, "top5_err": 0.00000}
